sentence,type
"""You're a coward, Pan.""",未知
"""Certainly I am.",未知
May I ask what you intend to do?,未知
Are you going to leap out and snatch the glass from his trembling fingers?,一般疑问句
"What did you have in mind?""",未知
"""I didn't have anything in mind, and well you know it,"" she snapped quietly.",未知
"""But now I've seen what the Master did, I haven't got any choice.",未知
"You're supposed to know about conscience, aren't you?",未知
"How can I just go and sit in the library or somewhere and twiddle my thumbs, knowing what's going to happen?",特殊疑问句
"I don't intend to do that, I promise you.""",未知
"""This is what you wanted all the time,"" he said after a moment.",未知
"""You wanted to hide in here and watch.",未知
"Why didn't I realize that before?""",未知
"""All right, I do,"" she said.",未知
"""Everyone knows they get up to something secret.",未知
They have a ritual or something.,未知
"And I just wanted to know what it was.""",未知
"""It's none of your business!",未知
If they want to enjoy their little secrets you should just feel superior and let them get on with it.,未知
"Hiding and spying is for silly children.""",未知
"""Exactly what I knew you'd say.",未知
"Now stop nagging.""",未知
"The two of them sat in silence for a while, Lyra uncomfortable on the hard floor of the wardrobe and Pantalaimon self-righteously twitching his temporary antennae on one of the robes.",未知
"Lyra felt a mixture of thoughts contending in her head, and she would have liked nothing better than to share them with her daemon, but she was proud too.",未知
Perhaps she should try to clear them up without his help.,未知
"Her main thought was anxiety, and it wasn't for herself.",未知
She'd been in trouble often enough to be used to it.,未知
"This time she was anxious about Lord Asriel, and about what this all meant.",未知
"It wasn't often that he visited the college, and the fact that this was a time of high political tension meant that he hadn't come simply to eat and drink and smoke with a few old friends.",未知
"She knew that both Lord Asriel and the Master were members of the Cabinet Council, the Prime Minister's special advisory body, so it might have been something to do with that; but meetings of the Cabinet Council were held in the palace, not in the Retiring Room of Jordan College.",未知
Then there was the rumor that had been keeping the College servants whispering for days.,未知
"It was said that the Tartars had invaded Muscovy, and were surging north to St. Petersburg, from where they would be able to dominate the Baltic Sea and eventually overcome the entire west of Europe.",未知
"And Lord Asriel had been in the far North: when she'd seen him last, he was preparing an expedition to Lapland...
""Pan,"" she whispered.",未知
"""Yes?""",未知
"""Do you think there'll be a war?""",未知
"""Not yet.",未知
"Lord Asriel wouldn't be dining here if it was going to break out in the next week or so.""",未知
"""That's what I thought.",未知
"But later?""",未知
"""Shh!",未知
"Someone's coming.""",未知
She sat up and put her eye to the crack of the door.,未知
"It was the Butler, coming to trim the lamp as the Master had ordered him to.",未知
"The common room and the library were lit by anbar-ic power, but the Scholars preferred the older, softer naphtha lamps in the Retiring Room.",未知
They wouldn't change that in the Master's lifetime.,未知
"The Butler trimmed the wick, and put another log on the fire as well, and then listened carefully at the hall door before helping himself to a handful of leaf from the smoking stand.",未知
"He had hardly replaced the lid when the handle of the other door turned, making him jump nervously.",未知
Lyra tried not to laugh.,未知
The Butler hastily stuffed the leaf into his pocket and turned to face the incomer.,未知
"""Lord Asriel!""",未知
"he said, and a shiver of cold surprise ran down Lyra's back.",未知
"She couldn't see him from where she was, and she tried to smother the urge to move and look.",未知
"""Good evening, Wren,"" said Lord Asriel.",未知
Lyra always heard that harsh voice with a mixture of pleasure and apprehension.,未知
"""I arrived too late to dine.",未知
"I'll wait in here.""",未知
The Butler looked uncomfortable.,未知
"Guests entered the Retiring Room at the Master's invitation only, and Lord Asriel knew that; but the Butler also saw Lord Asriel looking pointedly at the bulge in his pocket, and decided not to protest.",未知
"""Shall I let the Master know you've arrived, my lord?""",未知
"""No harm in that.",未知
"You might bring me some coffee.""",未知
"""Very good, my lord.""",未知
"The Butler bowed and hastened out, his daemon trotting submissively at his heels.",未知
"Lyra's uncle moved across to the fire and stretched his arms high above his head, yawning like a lion.",未知
He was wearing traveling clothes.,未知
"Lyra was reminded, as she always was when she saw him again, of how much he frightened her.",未知
There was no question now of creeping out unnoticed: she'd have to sit tight and hope.,there be句型
"Lord Asriel's daemon, a snow leopard, stood behind him.",未知
"""Are you going to show the projections in here?""",未知
she said quietly.,未知
"""Yes.",未知
It'll create less fuss than moving to the lecture theater.,未知
They'll want to see the specimens too; I'll send for the Porter in a minute.,未知
"This is a bad time, Stelmaria.""",未知
"""You should rest.""",未知
"He stretched out in one of the armchairs, so that Lyra could no longer see his face.",未知
"""Yes, yes.",未知
I should also change my clothes.,未知
There's probably some ancient etiquette that allows them to fine me a dozen bottles for coming in here dressed improperly.,未知
I should sleep for three days.,未知
"The fact remains that-""
There was a knock, and the Butler came in with a silver tray bearing a coffeepot and a cup.",未知
"""Thank you, Wren,"" said Lord Asriel.",未知
"""Is that the Tokay I can see on the table?""",未知
"""The Master ordered it decanted especially for you, my I lord,"" said the Butler.",未知
"""There are only three dozen bottles left I of the'98.""",未知
"""All good things pass away.",未知
Leave the tray here beside me.,未知
"Oh, ask the Porter to send up the two cases I left in the Lodge, would you?""",未知
"""Here, my lord?""",未知
"""Yes, here, man.",未知
"And I shall need a screen and a projecting lantern, also here, also now.""",未知
"The Butler could hardly prevent himself from opening his mouth in surprise, but managed to suppress the question, or the protest.",未知
"""Wren, you're forgetting your place,"" said Lord Asriel.",未知
"""Don't question me; just do as I tell you.""",未知
"""Very good, my lord,"" said the Butler.",未知
"""If I may suggest it, I should perhaps let Mr. Cawson know what you're planning, my lord, or else he'll be somewhat taken aback, if you see what I mean.""",未知
"""Yes.",未知
"Tell him, then.""",未知
Mr. Cawson was the Steward.,未知
There was an old and well-established rivalry between him and the Butler.,there be句型
"The Steward was the superior, but the Butler had more opportunities to ingratiate himself with the Scholars, and made full use of them.",未知
He would be delighted to have this chance of showing the Steward that he knew more about what was going on in the Retiring Room.,未知
He bowed and left.,未知
"Lyra watched as her uncle poured a cup of coffee, drained it at once, and poured another before sipping more slowly.",未知
She was agog: cases of specimens?,未知
A projecting lantern?,未知
What did he have to show the Scholars that was so urgent and important?,特殊疑问句
Then Lord Asriel stood up and turned away from the fire.,未知
"She saw him fully, and marveled at the contrast he made with the plump Butler, the stooped and languid Scholars.",主谓宾
"Lord Asriel was a tall man with powerful shoulders, a fierce dark face, and eyes that seemed to flash and glitter with savage laughter.",未知
"It was a face to be dominated by, or to fight: never a face to patronize or pity.",未知
"All his movements were large and perfectly balanced, like those of a wild animal, and when he appeared in a room like this, he seemed a wild animal held in a cage too small for it.",未知
At the moment his expression was distant and preoccupied.,未知
"His daemon came close and leaned her head on his waist, and he looked down at her unfathomably before turning away and walking to the table.",未知
"Lyra suddenly felt her stomach lurch, for Lord Asriel had taken the stopper from the decanter of Tokay, and was pouring a glass.",未知
"""No!""",未知
The quiet cry came before she could hold it back.,未知
Lord Asriel heard and turned at once.,未知
"""Who's there?""",未知
She couldn't help herself.,未知
She tumbled out of the wardrobe and scrambled up to snatch the glass from his hand.,未知
"The wine flew out, splashing on the edge of the table and the carpet, and then the glass fell and smashed.",未知
He seized her wrist and twisted hard.,主谓宾
"""Lyra!",未知
"What the hell are you doing?""",未知
"""Let go of me and I'll tell you!""",未知
"""I'll break your arm first.",未知
"How dare you come in here?""",未知
"""I've just saved your life!""",未知
"They were still for a moment, the girl twisted in pain but grimacing to prevent herself from crying out louder, the man bent over her frowning like thunder.",未知
"""What did you say?""",未知
he said more quietly.,未知
"""That wine is poisoned,"" she muttered between clenched teeth.",未知
"""I saw the Master put some powder in it.""",未知
He let go.,未知
"She sank to the floor, and Pantalaimon fluttered anxiously to her shoulder.",未知
"Her uncle looked down with a restrained fury, and she didn't dare meet his eyes.",未知
"""I came in just to see what the room was like,"" she said.",未知
"""I know I shouldn't have.",未知
"But I was going to go out before anyone came in, except that I heard the Master coming and got ^	trapped.",未知
The wardrobe was the only place to hide.,未知
And I saw him put the powder in the wine.,未知
"If I hadn't...""  
There was a knock on the door.",未知
"""That'll be the Porter,"" said Lord Asriel.",未知
"""Back in the wardrobe.",未知
"If I hear the slightest noise, I'll make you wish you were dead.""",未知
"She darted back there at once, and no sooner had she pulled the door shut than Lord Asriel called, ""Come in.""",未知
"As he'd said, it was the Porter.",未知
"""In here, my lord?""",未知
"Lyra saw the old man standing doubtfully in the doorway, and behind him, the corner of a large wooden box.",未知
"""That's right, Shuter,"" said Lord Asriel.",未知
"""Bring them both in and put them down by the table.""",未知
"Lyra relaxed a little, and allowed herself to feel the pain in her shoulder and wrist.",未知
"It might have been enough to make her cry, if she was the sort of girl who cried.",未知
Instead she gritted her teeth and moved the arm gently until it felt looser.,未知
Then came a crash of glass and the glug of spilled liquid.,未知
"""Damn you, Shuter, you careless old fool!",未知
"Look what you've done!""",未知
"Lyra could see, just.",未知
"Her uncle had managed to knock the
decanter of Tokay off the table, and made it look as if the Porter had done it.",未知
The old man put the box down carefully and began to apologize.,未知
"""I'm truly sorry, my lord-I must have been closer than I thought-""
""Get something to clear this mess up.",未知
"Go on, before it soaks into the carpet!""",未知
The Porter hurried out.,未知
Lord Asriel moved closer to the wardrobe and spoke in an undertone.,未知
"""Since you're in there, you can make yourself useful.",未知
Watch the Master closely when he comes in.,未知
"If you tell me something interesting about him, I'll keep you from getting further into the trouble you're already in.",未知
"Understand?""",未知
"""Yes, Uncle.""",未知
"""Make a noise in there and I won't help you.",未知
"You're on your own.""",未知
He moved away and stood with his back to the fire again as the Porter came back with a brush and dustpan for the glass and a bowl and cloth.,未知
"""I can only say once again, my lord, I do most earnestly beg your pardon; I don't know what-""
""Just clear up the mess.""",未知
"As the Porter began to mop the wine from the carpet, the Butler knocked and came in with Lord Asriel's manservant, a man called Thorold.",未知
They were carrying between them a heavy case of polished wood with brass handles.,未知
They saw what the Porter was doing and stopped dead.,未知
"""Yes, it was the Tokay,"" said Lord Asriel.",未知
"""Too bad.",未知
Is that the lantern?,未知
"Set it up by the wardrobe, Thorold, if you would.",未知
"I'll have the screen up at the other end.""",未知
"Lyra realized that she would be able to see the screen and whatever was on it through the crack in the door, and wondered whether her uncle had arranged it like that for the purpose.",未知
"Under the noise the manservant made unrolling the stiff linen and setting it up on its frame, she whispered:
""See?",未知
"It was worth coming, wasn't it?""",未知
"""It might be,"" Pantalaimon said austerely, in his tiny moth voice.",未知
"""And it might not.""",未知
Lord Asriel stood by the fire sipping the last of the coffee and watching darkly as Thorold opened the case of the projecting lantern and uncapped the lens before checking the oil tank.,未知
"""There's plenty of oil, my lord,"" he said.",未知
"""Shall I send for a technician to operate it?""",未知
"""No.",未知
I'll do it myself.,未知
"Thank you, Thorold.",未知
"Have they finished dinner yet, Wren?""",未知
"""Very nearly, I think, my lord,"" replied the Butler.",未知
"""If I understand Mr. Cawson aright, the Master and his guests won't be disposed to linger once they know you're here.",未知
"Shall I take the coffee tray?""",未知
"""Take it and go.""",未知
"""Very good, my lord.""",未知
"With a slight bow, the Butler took the tray and left, and Thorold went with him.",未知
"As soon as the door closed, Lord Asriel looked across the room directly at the wardrobe, and Lyra felt the force of his glance almost as if it had physical form, as if it were an arrow or a spear.",未知
Then he looked away and spoke softly to his dasmon.,未知
"She came to sit calmly at his side, alert and elegant and dangerous, her tawny eyes surveying the room before turning, like his black ones, to the door from the hall as the handle turned.",未知
"Lyra couldn't see the door, but she heard an intake of breath as the first man came in.",未知
"TWO 
THE IDEA OF NORTH


""Master,"" said Lord Asriel.",未知
"""Yes, I'm back.",未知
"Do bring in your guests; I've got something very interesting to show you.""",未知
"""Lord Asriel,"" said the Master heavily, and came forward to shake his hand.",未知
"From her hiding place Lyra watched the Master's eyes, and indeed, they flicked toward the table for a second, where the Tokay had been.",未知
"""Master,"" said Lord Asriel.",未知
"""I came too late to disturb your dinner, so I made myself at home in here.",未知
"Hello, Sub-Rector.",未知
Glad to see you looking so well.,未知
Excuse my rough appearance; I've only just landed.,未知
"Yes, Master, the Tokay's gone.",未知
I think you're standing in it.,主谓宾
"The Porter knocked it off the table, but it was my fault.",未知
"Hello, Chaplain.",未知
"I read your latest paper with great interest.""",未知
"He moved away with the Chaplain, leaving Lyra with a clear view of the Master's face.",未知
"It was impassive, but the daemon on his shoulder was shuffling her feathers and moving restlessly from foot to foot.",未知
"Lord Asriel was already dominating the room, and although he was careful to be courteous to the Master in the Master's own territory, it was clear where the power lay.",未知
"The Scholars greeted the visitor and moved into the room, some sitting around the table, some in the armchairs, and soon a buzz of conversation filled the air.",未知
"Lyra could see that they were powerfully intrigued by the wooden case, the screen, and the lantern.",未知
"She knew the Scholars well: the Librarian, the Sub-Rector, the Enquirer, and the rest; they were men who had been around her all her life, taught her, chastised her, consoled her, given her little presents, chased her away from the fruit trees in the garden; they were all she had for a family.",未知
"They might even have felt like a family if she knew what a family was, though if she did, she'd have been more likely to feel that about the College servants.",未知
"The Scholars had more important things to do than attend to the affections of a half-wild, half-civilized girl, left among them by chance.",未知
The Master lit the spirit lamp under the little silver chafing dish and heated some butter before cutting half a dozen poppy heads open and tossing them in.,未知
"Poppy was always served after a feast: it clarified the mind and stimulated the tongue, and made for rich conversation.",未知
It was traditional for the Master to cook it himself.,未知
"Under the sizzle of the frying butter and the hum of talk, Lyra shifted around to find a more comfortable position for herself.",未知
With enormous care she took one of the robes-a full-length fur-off its hanger and laid it on the floor of the wardrobe.,未知
"""You should have used a scratchy old one,"" whispered Pantalaimon.",未知
"""If you get too comfortable, you'll go to sleep.""",未知
"""If I do, it's your job to wake me up,"" she replied.",未知
She sat and listened to the talk.,未知
"Mighty dull talk it was, too; almost all of it politics, and London politics at that, nothing exciting about Tartars.",未知
"The smells of frying poppy and smoke-leaf drifted pleasantly in through the wardrobe door, and more than once Lyra found herself nodding.",未知
But finally she heard someone rap on the table.,未知
"The voices fell silent, and then the Master spoke.",未知
"""Gentlemen,"" he said.",未知
"""I feel sure I speak for all of us when I bid Lord Asriel welcome.",未知
"His visits are rare but always immensely valuable, and I understand he has something of particular interest to show us tonight.",未知
"This is a time of high political tension, as we are all aware; Lord Asriel's presence is required early tomorrow morning in White Hall, and a train is waiting with steam up ready to carry him to London as soon as we have finished our conversation here; so we must use our time wisely.",未知
"When he has finished speaking to us, I imagine there will be some questions.",未知
Please keep them brief and to the point.,主谓宾
"Lord Asriel, would you like to begin?""",未知
"""Thank you, Master,"" said Lord Asriel.",未知
"""To start with, I have a few slides to show you.",未知
"Sub-Rector, you can see best from here, I think.",未知
"Perhaps the Master would like to take the chair near the wardrobe?""",未知
Lyra marveled at her uncle's skill.,未知
"The old Sub-Rector was nearly blind, so it was courteous to make room for him nearer the screen, and his moving forward meant that the Master would be sitting next to the Librarian, only a matter of a yard or so from where Lyra was crouched in the wardrobe.",未知
"As the Master settled in the armchair, Lyra heard him murmur:
""The devil!",未知
"He knew about the wine, I'm sure of it.""",未知
"The Librarian murmured back, ""He's going to ask for funds.",未知
"If he forces a vote-""
""If he does that, we must just argue against, with all the eloquence we have.""",未知
The lantern began to hiss as Lord Asriel pumped it hard.,未知
"Lyra moved slightly so that she could see the screen, where a brilliant white circle had begun to glow.",未知
"Lord Asriel called, ""Could someone turn the lamp down?""",未知
"One of the Scholars got up to do that, and the room darkened.",未知
"Lord Asriel began:
""As some of you know, I set out for the North twelve months ago on a diplomatic mission to the King of Lapland.",未知
"At least, that's what I pretended to be doing.",未知
"In fact, my real aim was to go further north still, right on to the ice, in fact, to try and discover what had happened to the Grumman expedition.",未知
One of Grumman's last messages to the academy in Berlin spoke of a certain natural phenomenon only seen in the lands of the North.,未知
I was determined to investigate that as well as find out what I could about Grumman.,未知
"But the first picture I'm going to show you isn't directly about either of those things.""",未知
And he put the first slide into the frame and slid it behind the lens.,未知
A circular photogram in sharp black and white appeared on the screen.,未知
"It had been taken at night under a full moon, and it showed a wooden hut in the middle distance, its walls dark against the snow that surrounded it and lay thickly on the roof.",未知
"Beside the hut stood an array of philosophical instruments, which looked to Lyra's eye like something from the Anbaric Park on the road to Yarnton: aerials, wires, porcelain insulators, all glittering in the moonlight and thickly covered in frost.",未知
"A man in furs, his face hardly visible in the deep hood of his garment, stood in the foreground, with his hand raised as if in greeting.",未知
To one side of him stood a smaller figure.,未知
The moonlight bathed everything in the same pallid gleam.,未知
"""That photogram was taken with a standard silver nitrate emulsion,"" Lord Asriel said.",未知
"""I'd like you to look at another one, taken from the same spot only a minute later, with a new specially prepared emulsion.""",未知
He lifted out the first slide and dropped another into the frame.,未知
This was much darker; it was as if the moonlight had been filtered out.,未知
"The horizon was still visible, with the dark shape of the hut and its light snow-covered roof standing out, but the complexity of the instruments was hidden in darkness.",未知
"But the man had altogether changed: he was bathed in light, and a fountain of glowing particles seemed to be streaming from his upraised hand.",未知
"""That light,"" said the Chaplain, ""is it going up or coming down?""",未知
"""It's coming down,"" said Lord Asriel, ""but it isn't light.",未知
"It's Dust.""",未知
"Something in the way he said it made Lyra imagine dust with a capital letter, as if this wasn't ordinary dust.",未知
"The reaction of the Scholars confirmed her feeling, because Lord Asriel's words caused a sudden collective silence, followed by gasps of incredulity.",未知
"""But how-""
""Surely-""
""It can't-""
""Gentlemen!""",未知
came the voice of the Chaplain.,未知
"""Let Lord Asriel explain.""",未知
"""It's Dust,"" Lord Asriel repeated.",未知
"""It registered as light on the plate because particles of Dust affect this emulsion as photons affect silver nitrate emulsion.",未知
It was partly to test it that my expedition went north in the first place.,未知
"As you see, the figure of the man is perfectly visible.",未知
"Now I'd like you to look at the shape to his left.""",未知
He indicated the blurred shape of the smaller figure.,未知
"""I thought that was the man's daemon,"" said the Enquirer.",未知
"""No.",未知
His daemon was at the time coiled around his neck in the form of a snake.,未知
"That shape you can dimly see is a child.""",未知
"""A severed child-?""",未知
"said someone, and the way he stopped showed that he knew this was something that shouldn't have been voiced.",未知
There was an intense silence.,there be句型
"Then Lord Asriel said calmly, ""An entire child.",未知
"Which, given the nature of Dust, is precisely the point, is it not?""",未知
No one spoke for several seconds.,未知
Then came the voice of the Chaplain.,未知
"""Ah,"" he said, like a thirsty man who, having just drunk deeply, puts down the glass to let out the breath he has held while drinking.",未知
"""And the streams of Dust...""
""-Come from the sky, and bathe him in what looks like light.",未知
You may examine this picture as closely as you wish: I'll leave it behind when I go.,未知
I'm showing it to you now to demonstrate the effect of this new emulsion.,未知
"Now I'd like to show you another picture.""",未知
He changed the slide.,未知
"The next picture was also taken at night, but this time without moonlight.",未知
"It showed a small group of tents in the foreground, dimly outlined against the low horizon, and beside them an untidy heap of wooden boxes and a sledge.",未知
But the main interest of the picture lay in the sky.,未知
"Streams and veils of light hung like curtains, looped and festooned on invisible hooks hundreds of miles high or blowing out sideways in the stream of some unimaginable wind.",未知
"""What is that?""",未知
said the voice of the Sub-Rector.,未知
"""It's a picture of the Aurora.""",未知
"""It's a very fine photogram,"" said the Palmerian Professor.",未知
"""One of the best I've seen.""",未知
"""Forgive my ignorance,"" said the shaky voice of the old Precentor, ""but if I ever knew what the Aurora was, I have forgotten.",未知
"Is it what they call the Northern Lights?""",未知
"""Yes.",未知
It has many names.,未知
"It's composed of storms of charged particles and solar rays of intense and extraordinary strength-invisible in themselves, but causing this luminous radiation when they interact with the atmosphere.",未知
"If there'd been time, I would have had this slide tinted to show you the colors; pale green and rose, for the most part, with a tinge of crimson along the lower edge of that curtain-like formation.",未知
This is taken with ordinary emulsion.,未知
"Now I'd like you to look at a picture taken with the special emulsion.""",未知
He took out the slide.,未知
