sentence,type
"""You're a coward, Pan.""",未知
"""Certainly I am.",未知
May I ask what you intend to do?,未知
Are you going to leap out and snatch the glass from his trembling fingers?,一般疑问句
"What did you have in mind?""",未知
"""I didn't have anything in mind, and well you know it,"" she snapped quietly.",未知
"""But now I've seen what the Master did, I haven't got any choice.",未知
"You're supposed to know about conscience, aren't you?",未知
"How can I just go and sit in the library or somewhere and twiddle my thumbs, knowing what's going to happen?",特殊疑问句
"I don't intend to do that, I promise you.""",未知
"""This is what you wanted all the time,"" he said after a moment.",未知
"""You wanted to hide in here and watch.",未知
"Why didn't I realize that before?""",未知
"""All right, I do,"" she said.",未知
"""Everyone knows they get up to something secret.",未知
They have a ritual or something.,未知
"And I just wanted to know what it was.""",未知
"""It's none of your business!",未知
If they want to enjoy their little secrets you should just feel superior and let them get on with it.,未知
"Hiding and spying is for silly children.""",未知
"""Exactly what I knew you'd say.",未知
"Now stop nagging.""",未知
"The two of them sat in silence for a while, Lyra uncomfortable on the hard floor of the wardrobe and Pantalaimon self-righteously twitching his temporary antennae on one of the robes.",未知
"Lyra felt a mixture of thoughts contending in her head, and she would have liked nothing better than to share them with her daemon, but she was proud too.",未知
Perhaps she should try to clear them up without his help.,未知
"Her main thought was anxiety, and it wasn't for herself.",未知
She'd been in trouble often enough to be used to it.,未知
"This time she was anxious about Lord Asriel, and about what this all meant.",未知
"It wasn't often that he visited the college, and the fact that this was a time of high political tension meant that he hadn't come simply to eat and drink and smoke with a few old friends.",未知
"She knew that both Lord Asriel and the Master were members of the Cabinet Council, the Prime Minister's special advisory body, so it might have been something to do with that; but meetings of the Cabinet Council were held in the palace, not in the Retiring Room of Jordan College.",未知
Then there was the rumor that had been keeping the College servants whispering for days.,未知
"It was said that the Tartars had invaded Muscovy, and were surging north to St. Petersburg, from where they would be able to dominate the Baltic Sea and eventually overcome the entire west of Europe.",未知
"And Lord Asriel had been in the far North: when she'd seen him last, he was preparing an expedition to Lapland...
""Pan,"" she whispered.",未知
"""Yes?""",未知
"""Do you think there'll be a war?""",未知
"""Not yet.",未知
"Lord Asriel wouldn't be dining here if it was going to break out in the next week or so.""",未知
"""That's what I thought.",未知
"But later?""",未知
"""Shh!",未知
"Someone's coming.""",未知
She sat up and put her eye to the crack of the door.,未知
"It was the Butler, coming to trim the lamp as the Master had ordered him to.",未知
"The common room and the library were lit by anbar-ic power, but the Scholars preferred the older, softer naphtha lamps in the Retiring Room.",未知
They wouldn't change that in the Master's lifetime.,未知
"The Butler trimmed the wick, and put another log on the fire as well, and then listened carefully at the hall door before helping himself to a handful of leaf from the smoking stand.",未知
"He had hardly replaced the lid when the handle of the other door turned, making him jump nervously.",未知
Lyra tried not to laugh.,未知
The Butler hastily stuffed the leaf into his pocket and turned to face the incomer.,未知
"""Lord Asriel!""",未知
"he said, and a shiver of cold surprise ran down Lyra's back.",未知
"She couldn't see him from where she was, and she tried to smother the urge to move and look.",未知
"""Good evening, Wren,"" said Lord Asriel.",未知
Lyra always heard that harsh voice with a mixture of pleasure and apprehension.,未知
"""I arrived too late to dine.",未知
"I'll wait in here.""",未知
The Butler looked uncomfortable.,未知
"Guests entered the Retiring Room at the Master's invitation only, and Lord Asriel knew that; but the Butler also saw Lord Asriel looking pointedly at the bulge in his pocket, and decided not to protest.",未知
